_ID,TimeSt,Country,Province,City,Latitude,Longitude,POIID,minDistance
5329129,2017-06-21 12:56:59.250,CA,AB,Calgary,50.88370,-114.03260,POI1,298.4791540114426
4756811,2017-06-21 11:15:38.470,CA,AB,Calgary,50.88510,-114.07600,POI1,298.70807137181896
5531397,2017-06-21 22:16:08.373,CA,AB,Calgary,50.92354,-113.95181,POI1,293.43520242900155
5475401,2017-06-21 12:11:05.663,CA,AB,Calgary,51.02087,-114.10618,POI1,284.04035914429875
5549725,2017-06-21 10:17:47.487,CA,AB,Calgary,51.04750,-114.06800,POI1,280.731848795025
5579016,2017-06-21 02:19:44.040,CA,AB,Calgary,51.04940,-113.95640,POI1,279.55263054643495
5457585,2017-06-21 12:09:17.210,CA,AB,Calgary,51.05287,-113.94355,POI1,279.070272255809
5083577,2017-06-21 15:39:41.480,CA,AB,Calgary,51.06736,-114.08280,POI1,278.6885944174671
5176875,2017-06-21 07:46:01.890,CA,AB,Calgary,51.11765,-113.94998,POI1,271.95874671914555
4723660,2017-06-21 06:13:29.033,CA,AB,Calgary,51.14670,-114.31330,POI1,272.74662950313996
4728017,2017-06-21 20:13:48.880,CA,AB,Calgary,51.14670,-114.31330,POI1,272.74662950313996
4934090,2017-06-21 20:30:32.760,CA,AB,Airdrie,51.28890,-114.01500,POI1,253.62773843732703
5276651,2017-06-21 08:53:47.683,CA,AB,Red Deer,52.17452,-113.87320,POI1,154.7704406983409
5584317,2017-06-21 15:20:19.583,CA,AB,Edmonton,53.42490,-113.59500,POI1,15.304822937669094
4872590,2017-06-21 17:25:07.927,CA,AB,Edmonton,53.42490,-113.59500,POI1,15.304822937669094
4527583,2017-06-21 02:00:24.580,CA,AB,Edmonton,53.43980,-113.53742,POI1,12.315631111595659
4853267,2017-06-21 09:23:28.603,CA,AB,Edmonton,53.44218,-113.44523,POI1,11.87292528729288
5001414,2017-06-21 12:34:16.067,CA,AB,Edmonton,53.46880,-113.50800,POI1,8.730658199816773
5093391,2017-06-21 13:40:33.870,CA,AB,Edmonton,53.47345,-113.39650,POI1,10.013016877878435
5268197,2017-06-21 11:53:06.227,CA,AB,Edmonton,53.49140,-113.48020,POI1,6.102707993175662
4545079,2017-06-21 13:01:28.233,CA,AB,Edmonton,53.51198,-113.58520,POI1,7.596602364849448
5158641,2017-06-21 05:44:53.880,CA,AB,Sherwood Park,53.52630,-113.28700,POI1,13.321958022995348
4702977,2017-06-21 09:11:42.450,CA,AB,Sherwood Park,53.52630,-113.28700,POI1,13.321958022995348
4566942,2017-06-21 21:01:54.000,CA,AB,Edmonton,53.53660,-113.51030,POI1,1.9413779078845466
5156691,2017-06-21 05:44:40.623,CA,AB,Edmonton,53.54919,-113.42470,POI1,4.0475820360781265
4705608,2017-06-21 20:11:58.757,CA,AB,Edmonton,53.58422,-113.41610,POI1,6.251040619534265
4820022,2017-06-21 00:20:42.113,CA,AB,Edmonton,53.60113,-113.44117,POI1,6.785154746358448
4601328,2017-06-21 15:04:13.833,CA,AB,Edmonton,53.60790,-113.42400,POI1,7.985713882287851
5197731,2017-06-21 05:47:47.573,CA,AB,Wood Buffalo,56.75380,-111.43500,POI1,379.8049754646045
4740530,2017-06-21 12:14:39.400,CA,BC,Abbotsford,49.06945,-122.30482,POI1,788.9580240220503
4888815,2017-06-21 11:26:29.427,CA,BC,New Westminster,49.18630,-122.94700,POI1,815.5305598715833
5181002,2017-06-21 03:46:15.567,CA,BC,Burnaby,49.21572,-122.98798,POI1,815.7145552766848
5571371,2017-06-21 14:19:18.207,CA,BC,Vancouver,49.27550,-123.12900,POI1,819.4001870737563
5481607,2017-06-21 08:11:26.660,CA,MB,Winnipeg,49.81360,-97.07590,POI1,1202.1786119886794
5413922,2017-06-21 00:04:24.707,CA,MB,Brandon,49.81640,-99.96523,POI1,1018.4925397204762
4875605,2017-06-21 04:25:29.753,CA,MB,Winnipeg,49.89300,-97.00100,POI1,1203.088456148472
5557526,2017-06-21 19:18:06.203,CA,MB,Winnipeg,49.89300,-97.00100,POI1,1203.088456148472
4700828,2017-06-21 02:11:36.343,CA,MB,Winnipeg,49.92400,-97.20582,POI1,1188.39253512424
5484228,2017-06-21 11:11:37.307,CA,MB,Winnipeg,49.92437,-97.20590,POI1,1188.3693174665825
4885247,2017-06-21 01:26:08.763,CA,NB,Saint John,45.27360,-66.06610,POI4,221.9319740355465
4578682,2017-06-21 04:02:20.110,CA,ON,London,42.95903,-81.19382,POI3,670.977531835278
4982963,2017-06-21 12:33:06.947,CA,ON,London,43.00610,-81.29620,POI3,675.9602776478756
5535987,2017-06-21 08:16:41.320,CA,ON,London,43.03460,-81.25540,POI3,671.5640449483668
5209760,2017-06-21 15:48:30.673,CA,ON,Cambridge,43.41940,-80.32550,POI3,585.024849898433
4524688,2017-06-21 22:00:05.963,CA,ON,Kitchener,43.43810,-80.50990,POI3,597.5662739373162
5220845,2017-06-21 07:49:28.497,CA,ON,Waterloo,43.46340,-80.52010,POI3,597.1193042781898
